Código do Município ;Município ;Estado ;Ano de Referência ;Código do Prestador ;Prestador ;Sigla do Prestador ;Abrangência ;Tipo de Serviço ;Natureza Jurídica ;G05A - Quantidade total de municípios atendidos com abastecimento de água (Municípios);G05B - Quantidade total de municípios atendidos com esgotamento sanitário (Municípios);G06A - População urbana residente do(s) município(s) com abastecimento de água (Habitantes);G06B - População urbana residente do(s) município(s) com esgotamento sanitário (Habitantes);G12A - População total residente do(s) município(s) com abastecimento de água, segundo o IBGE (Habitantes);G12B - População total residente do(s) município(s) com esgotamento sanitário, segundo o IBGE (Habitantes);GE001 - Quantidade de municípios atendidos com abastecimento de água com delegação em vigor (Municípios);GE002 - Quantidade de municípios atendidos com abastecimento de água com delegação vencida (Municípios);GE003 - Quantidade de municípios atendidos com abastecimento de água sem delegação (Municípios);GE005 - Quantidade total de municípios atendidos (Municípios);GE008 - Quantidade de Sedes municipais atendidas com abastecimento de água (Sedes);GE009 - Quantidade de Sedes municipais atendidas com esgotamento sanitário (Sedes);GE010 - Quantidade de Localidades (excluídas as sedes) atendidas com abastecimento de água (Localidades);GE011 - Quantidade de Localidades (excluídas as sedes) atendidas com esgotamento sanitário (Localidades);GE014 - Quantidade de municípios atendidos com esgotamento sanitário com delegação em vigor (Municípios);GE015 - Quantidade de municípios atendidos com esgotamento sanitário com delegação vencida (Municípios);GE016 - Quantidade de municípios atendidos com esgotamento sanitário sem delegação (Municípios);GE017 - Ano de vencimento da delegação de abastecimento de água (Ano);GE018 - Ano de vencimento da delegação de esgotamento sanitário (Ano);GE025 - Quantidade de municípios não atendidos com abastecimento de água, mas com delegação em vigor (Municípios);GE026 - Quantidade de municípios não atendidos com abastecimento de água, mas com delegação vencida para prestar esses serviços (Municípios);GE028 - Quantidade de municípios não atendidos com esgotamento sanitário, mas com delegação em vigor para prestar esses serviços (Municípios);GE029 - Quantidade de municípios não atendidos com esgotamento sanitário, mas com delegação vencida para prestar esses serviços (Municípios);AG001 - População total atendida com abastecimento de água (Habitantes);AG001A - População total atendida com abastecimento de água no ano anterior ao de referência. (habitante);AG002 - Quantidade de ligações ativas de água (Ligações);AG002A - Quantidade de ligações ativas de água no ano anterior ao de referência. (ligação);AG003 - Quantidade de economias ativas de água (Economias);AG003A - Quantidade de economias ativas de água no ano anterior ao de referência. (economia);AG004 - Quantidade de ligações ativas de água micromedidas (Ligações);AG004A - Quantidade de ligações ativas de água micromedidas no ano anterior ao de referência. (ligação);AG005 - Extensão da rede de água (km);AG005A - Extensão da rede de água no ano anterior ao de referência. (km);AG006 - Volume de água produzido (1.000 m³/ano);AG007 - Volume de água tratada em ETAs (1.000 m³/ano);AG008 - Volume de água micromedido (1.000 m³/ano);AG010 - Volume de água consumido (1.000 m³/ano);AG011 - Volume de água faturado (1.000 m³/ano);AG012 - Volume de água macromedido (1.000 m³/ano);AG013 - Quantidade de economias residenciais ativas de água (Economias);AG013A - Quantidade de economias residenciais ativas de água no ano anterior ao de referência. (economia);AG014 - Quantidade de economias ativas de água micromedidas (Economias);AG014A - Quantidade de economias ativas de água micromedidas no ano anterior ao de referência. (economia);AG015 - Volume de água tratada por simples desinfecção (1.000 m³/ano);AG016 - Volume de água bruta importado (1.000 m³/ano);AG017 - Volume de água bruta exportado (1.000 m³/ano);AG018 - Volume de água tratada importado (1.000 m³/ano);AG019 - Volume de água tratada exportado (1.000 m³/ano);AG020 - Volume micromedido nas economias residenciais ativas de água (1.000 m³/ano);AG021 - Quantidade de ligações totais de água (Ligações);AG021A - Quantidade de ligações totais de água no ano anterior ao de referência. (ligação);AG022 - Quantidade de economias residenciais ativas de água micromedidas (Economias);AG022A - Quantidade de economias residenciais ativas de água micromedidas no ano anterior ao de referência. (economia);AG024 - Volume de serviço (1.000 m³/ano);AG025A - População rural atendida com abastecimento de água no ano anterior ao de referência. (habitante);AG026 - População urbana atendida com abastecimento de água (Habitantes);AG026A - População urbana atendida com abastecimento de água no ano anterior ao de referência. (habitante);AG027 - Volume de água fluoretada (1.000 m³/ano);AG028 - Consumo total de energia elétrica nos sistemas de água (1.000 kWh/ano);BL001 - Ativo circulante (1.000 R$/ano);BL002 - Ativo total (1.000 R$/ano);BL003 - Exigível a longo prazo (1.000 R$/ano);BL004 - Lucro líquido com depreciação (1.000 R$/ano);BL005 - Passivo circulante (1.000 R$/ano);BL006 - Patrimônio líquido (1.000 R$/ano);BL007 - Receita operacional (1.000 R$/ano);BL008 - Resultado de exercícios futuros (1.000 R$/ano);BL009 - Resultado operacional com depreciação (1.000 R$/ano);BL010 - Realizável a longo prazo (1.000 R$/ano);BL011 - Lucro líquido sem depreciação (1.000 R$/ano);BL012 - Resultado operacional sem depreciação (1.000 R$/ano);ES001 - População total atendida com esgotamento sanitário (Habitantes);ES001A - População total atendida com esgotamento sanitário no ano anterior ao de referência. (habitante);ES002 - Quantidade de ligações ativas de esgotos (Ligações);ES002A - Quantidade de ligações ativas de esgoto no ano anterior ao de referência. (ligação);ES003 - Quantidade de economias ativas de esgotos (Economias);ES003A - Quantidade de economias ativas de esgoto no ano anterior ao de referência. (economia);ES004 - Extensão da rede de esgotos (km);ES004A - Extensão da rede de esgoto no ano anterior ao de referência. (km);ES005 - Volume de esgotos coletado (1.000 m³/ano);ES006 - Volume de esgotos tratado (1.000 m³/ano);ES007 - Volume de esgotos faturado (1.000 m³/ano);ES008 - Quantidade de economias residenciais ativas de esgotos (Economias);ES008A - Quantidade de economias residenciais ativas de esgoto no ano anterior ao de referência. (economia);ES009 - Quantidade de ligações totais de esgotos (Ligações);ES009A - Quantidade de ligações totais de esgoto no ano anterior ao de referência. (ligação);ES012 - Volume de esgoto bruto exportado (1.000 m³/ano);ES013 - Volume de esgotos bruto importado (1.000m³/ano);ES014 - Volume de esgoto importado tratado nas instalações do importador (1.000 m³/ano);ES015 - Volume de esgoto bruto exportado tratado nas instalações do importador (1.000 m³/ano);ES025A - População rural atendida com esgotamento sanitário no ano anterior ao de referência. (habitante);ES026 - População urbana atendida com esgotamento sanitário (Habitantes);ES026A - População urbana atendida com esgotamento sanitário no ano anterior ao de referência. (habitante);ES028 - Consumo total de energia elétrica nos sistemas de esgotos (1.000 kWh/ano);FN001 - Receita operacional direta total (R$/ano);FN002 - Receita operacional direta de água (R$/ano);FN003 - Receita operacional direta de esgoto (R$/ano);FN004 - Receita operacional indireta (R$/ano);FN005 - Receita operacional total (direta + indireta) (R$/ano);FN006 - Arrecadação total (R$/ano);FN007 - Receita operacional direta de água exportada (bruta ou tratada) (R$/ano);FN008 - Créditos de contas a receber (R$/ano);FN008A - Crédito de contas a receber no ano anterior ao de referência. (R$/ano);FN010 - Despesa com pessoal próprio (R$/ano);FN011 - Despesa com produtos químicos (R$/ano);FN013 - Despesa com energia elétrica (R$/ano);FN014 - Despesa com serviços de terceiros (R$/ano);FN015 - Despesas de Exploração (DEX) (R$/ano);FN016 - Despesas com juros e encargos do serviço da dívida (R$/ano);FN017 - Despesas totais com os serviços (DTS) (R$/ano);FN018 - Despesas capitalizáveis realizadas pelo prestador de serviços (R$/ano);FN019 - Despesas com depreciação, amortização do ativo diferido e provisão para devedores duvidosos (R$/ano);FN020 - Despesa com água importada (bruta ou tratada) (R$/ano);FN021 - Despesas fiscais ou tributárias computadas na DEX (R$/ano);FN022 - Despesas fiscais ou tributárias não computadas na DEX (R$/ano);FN023 - Investimento realizado em abastecimento de água pelo prestador de serviços (R$/ano);FN024 - Investimento realizado em esgotamento sanitário pelo prestador de serviços (R$/ano);FN025 - Outros investimentos realizados pelo prestador de serviços (R$/ano);FN026 - Quantidade total de empregados próprios (Empregados);FN026A - Quantidade total de empregados próprios no ano anterior ao de referência. (empregado);FN027 - Outras despesas de exploração (R$/ano);FN028 - Outras despesas com os serviços (R$/ano);FN030 - Investimento com recursos próprios realizado pelo prestador de serviços. (R$/ano);FN031 - Investimento com recursos onerosos realizado pelo prestador de serviços. (R$/ano);FN032 - Investimento com recursos não onerosos realizado pelo prestador de serviços. (R$/ano);FN033 - Investimentos totais realizados pelo prestador de serviços (R$/ano);FN034 - Despesas com amortizações do serviço da dívida (R$/ano);FN035 - Despesas com juros e encargos do serviço da dívida, exceto variações monetária e cambial (R$/ano);FN036 - Despesa com variações monetárias e cambiais das dívidas (R$/ano);FN037 - Despesas totais com o serviço da dívida (R$/ano);FN038 - Receita operacional direta - esgoto bruto importado (R$/ano);FN039 - Despesa com esgoto exportado (R$/ano);FN041 - Despesas capitalizáveis realizadas pelo(s) município(s) (R$/ano);FN042 - Investimento realizado em abastecimento de água pelo(s) município(s) (R$/ano);FN043 - Investimento realizado em esgotamento sanitário pelo(s) município(s) (R$/ano);FN044 - Outros investimentos realizados pelo(s) município(s) (R$/ano);FN045 - Investimento com recursos próprios realizado pelo(s) município(s) (R$/ano);FN046 - Investimento com recursos onerosos realizado pelo(s) município(s) (R$/ano);FN047 - Investimento com recursos não onerosos realizado pelo(s) município(s) (R$/ano);FN048 - Investimentos totais realizados pelo(s) município(s) (R$/ano);FN051 - Despesas capitalizáveis realizadas pelo estado (R$/ano);FN052 - Investimento realizado em abastecimento de água pelo estado (R$/ano);FN053 - Investimento realizado em esgotamento sanitário pelo estado (R$/ano);FN054 - Outros investimentos realizados pelo estado (R$/ano);FN055 - Investimento com recursos próprios realizado pelo estado (R$/ano);FN056 - Investimento com recursos onerosos realizado pelo estado (R$/ano);FN057 - Investimento com recursos não onerosos realizado pelo estado (R$/ano);FN058 - Investimentos totais realizados pelo estado (R$/ano);IN001 - Densidade de economias de água por ligação (econ./lig.);IN002 - Índice de produtividade: economias ativas por pessoal próprio (econ./empreg.);IN003 - Despesa total com os serviços por m3 faturado (R$/m³);IN004 - Tarifa média praticada (R$/m³);IN005 - Tarifa média de água (R$/m³);IN006 - Tarifa média de esgoto (R$/m³);IN007 - Incidência da desp. de pessoal e de serv. de terc. nas despesas totais com os serviços (percentual);IN008 - Despesa média anual por empregado (R$/empreg.);IN009 - Índice de hidrometração (percentual);IN010 - Índice de micromedição relativo ao volume disponibilizado (percentual);IN011 - Índice de macromedição (percentual);IN012 - Indicador de desempenho financeiro (percentual);IN013 - Índice de perdas faturamento (percentual);IN014 - Consumo micromedido por economia (m³/mês/econ.);IN015 - Índice de coleta de esgoto (percentual);IN016 - Índice de tratamento de esgoto (percentual);IN017 - Consumo de água faturado por economia (m³/mês/econ.);IN018 - Quantidade equivalente de pessoal total (empregado);IN019 - Índice de produtividade: economias ativas por pessoal total (equivalente) (econ./empreg. eqv.);IN020 - Extensão da rede de água por ligação (m/lig.);IN021 - Extensão da rede de esgoto por ligação (m/lig.);IN022 - Consumo médio percapita de água (l/hab./dia);IN023 - Índice de atendimento urbano de água (percentual);IN024 - Índice de atendimento urbano de esgoto referido aos municípios atendidos com água (percentual);IN025 - Volume de água disponibilizado por economia (m³/mês/econ.);IN026 - Despesa de exploração por m3 faturado (R$/m³);IN027 - Despesa de exploração por economia (R$/ano/econ.);IN028 - Índice de faturamento de água (percentual);IN029 - Índice de evasão de receitas (percentual);IN030 - Margem da despesa de exploração (percentual);IN031 - Margem da despesa com pessoal próprio (percentual);IN032 - Margem da despesa com pessoal total (equivalente) (percentual);IN033 - Margem do serviço da divida (percentual);IN034 - Margem das outras despesas de exploração (percentual);IN035 - Participação da despesa com pessoal próprio nas despesas de exploração (percentual);IN036 - Participação da despesa com pessoal total (equivalente) nas despesas de exploração (percentual);IN037 - Participação da despesa com energia elétrica nas despesas de exploração (percentual);IN038 - Participação da despesa com produtos químicos nas despesas de exploração (DEX) (percentual);IN039 - Participação das outras despesas nas despesas de exploração (percentual);IN040 - Participação da receita operacional direta de água na receita operacional total (percentual);IN041 - Participação da receita operacional direta de esgoto na receita operacional total (percentual);IN042 - Participação da receita operacional indireta na receita operacional total (percentual);IN043 - Participação das economias residenciais de água no total das economias de água (percentual);IN044 - Índice de micromedição relativo ao consumo (percentual);IN045 - Índice de produtividade: empregados próprios por 1000 ligações de água (empreg./mil lig.);IN046 - Índice de esgoto tratado referido à água consumida (percentual);IN047 - Índice de atendimento urbano de esgoto referido aos municípios atendidos com esgoto (percentual);IN048 - Índice de produtividade: empregados próprios por 1000 ligações de água + esgoto (empreg./mil lig.);IN049 - Índice de perdas na distribuição (percentual);IN050 - Índice bruto de perdas lineares (m³/dia/Km);IN051 - Índice de perdas por ligação (l/dia/lig.);IN052 - Índice de consumo de água (percentual);IN053 - Consumo médio de água por economia (m³/mês/econ.);IN054 - Dias de faturamento comprometidos com contas a receber (dias);IN055 - Índice de atendimento total de água (percentual);IN056 - Índice de atendimento total de esgoto referido aos municípios atendidos com água (percentual);IN057 - Índice de fluoretação de água (percentual);IN058 - Índice de consumo de energia elétrica em sistemas de abastecimento de água (kWh/m³);IN059 - Índice de consumo de energia elétrica em sistemas de esgotamento sanitário (kWh/m³);IN060 - Índice de despesas por consumo de energia elétrica nos sistemas de água e esgotos (R$/kWh);IN061 - Liquidez corrente ;IN062 - Liquidez geral ;IN063 - Grau de endividamento ;IN064 - Margem operacional com depreciação (percentual);IN065 - Margem líquida com depreciação (percentual);IN066 - Retorno sobre o patrimônio líquido (percentual);IN067 - Composição de exigibilidades (percentual);IN068 - Margem operacional sem depreciação (percentual);IN069 - Margem líquida sem depreciação (percentual);IN101 - Índice de suficiência de caixa (percentual);IN102 - Índice de produtividade de pessoal total (equivalente) (ligações/empregados)
120010;Brasiléia;AC;2016;12001011;Prefeitura Municipal de Brasiléia;PMB;Local;Esgoto       ;Administração pública direta;0;1;16.198;16.198;24.311;24.311;;;;1;;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.800;5.800;1.330;1.330;1.340;1.340;12,75;12,75;75,00;75,00;0,00;1.290;1.290;1.376;1.376;0,00;0,00;0,00;0,00;;5.800;5.800;0,00;0,00;;0,00;0,00;0,00;0,00;;0,00;0,00;65.200,00;0,00;0,00;0,00;95.200,00;0,00;95.200,00;;0,00;;30.000,00;0,00;;;;4;8;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;223,33;;;;;68,49;10.866,67;;;;0,00;;;;100,00;;6,00;223,33;;9,27;;;35,81;;;71,04;;;;;;;;68,49;68,49;0,00;0,00;0,00;;;;;;;;35,81;4,51;;;;;;;;23,86;;;0,00;;;;;;;;;;;0,00;221,67
120013;Bujari;AC;2016;12001311;Prefeitura Municipal de Bujari;PMB;Local;Esgoto       ;Administração pública direta;0;1;4.143;4.143;9.503;9.503;;;;1;;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;40;;40;;0,50;;20,00;0,00;0,00;40;;40;;0,00;0,00;0,00;0,00;;120;;0,00;0,00;;0,00;0,00;0,00;0,00;;0,00;;26.000,00;0,00;0,00;0,00;26.000,00;0,00;26.000,00;;0,00;;0,00;0,00;;;;1;;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;40,00;;;;;100,00;26.000,00;;;;0,00;;;;0,00;;1,00;40,00;;12,50;;;2,90;;;650,00;;;;;;;;100,00;100,00;0,00;0,00;0,00;;;;;;;;2,90;25,00;;;;;;;;1,26;;;0,00;;;;;;;;;;;0,00;40,00
120038;Plácido de Castro;AC;2016;12003811;Prefeitura Municipal de Plácido de Castro;PMPC;Local;Esgoto       ;Administração pública direta;0;1;11.062;11.062;18.336;18.336;;;;1;;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.020;11.020;2;2;;;1,00;1,00;2.000,00;1.000,00;0,00;;;50;50;1.000,00;1.000,00;1.000,00;1.000,00;;10.847;10.847;1.500,00;0,00;;0,00;0,00;0,00;0,00;;0,00;0,00;35.000,00;500,00;1.000,00;1.000,00;45.700,00;50,00;200.000,00;;0,00;;2.000,00;200,00;;;;2;2;1.200,00;154.050,00;;;;;10,00;0,00;50,00;60,00;0,00;5.000,00;15.000,00;20.000,00;50.000,00;0,00;;;;85.000,00;0,00;1.200,00;0,00;0,00;;;;1.200,00;;;;;;;18,00;17.500,00;;;;0,00;;;;100,00;;2,06;;;20,00;;;98,06;;;;;;;;;;;76,59;78,77;2,19;1,09;2,63;;;;;;;;98,06;1.000,00;;;;;;;;60,10;;;0,75;0,00;;;;;;;;;;0,00;0,97
120040;Rio Branco;AC;2016;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Água e Esgoto;Autarquia;22;1;591.481;346.208;816.687;377.057;22;0;0;22;22;1;5;0;1;0;0;;;0;0;21;0;391.961;377.422;102.717;99.196;112.451;107.744;64.847;70.335;2.361,13;2.315,03;59.406,03;55.321,73;16.848,29;22.421,10;22.137,10;30.495,85;106.369;102.582;71.777;76.772;3.470,79;;0,00;0,00;0,00;14.604,32;144.567;140.241;67.605;73.252;1.820,99;;387.591;374.087;0,00;26.445,75;;;;;;;;;;;;;82.966;83.548;21.851;21.857;25.564;25.680;533,47;533,47;4.354,32;4.354,32;4.354,32;23.503;23.668;21.851;77.749;0,00;0,00;0,00;0,00;;82.966;83.548;;59.423.183,76;52.080.433,95;7.342.749,81;796.250,70;60.219.434,46;31.332.879,28;0,00;104.079.879,40;76.082.610,99;36.332.012,25;12.284.320,25;9.100.621,46;1.788.829,25;60.055.281,64;0,00;78.402.935,68;0,00;1.281.217,59;0,00;549.498,43;0,00;48.710,00;0,00;0,00;915;421;0,00;17.066.436,45;48.710,00;0,00;0,00;48.710,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.491.353,12;12.572.834,98;9.712.339,28;0,00;895.269,41;13.446.192,12;10.435.065,85;24.776.527,38;1,09;203,17;2,96;2,24;2,35;1,69;48,62;54.389,24;66,95;29,26;51,33;75,79;61,56;18,90;19,42;100,00;16,76;700,89;193,64;16,42;10,71;159,68;65,53;14,03;44,96;2,27;442,50;38,44;47,97;101,06;61,14;64,15;0,00;0,00;60,50;63,48;15,15;20,46;0,00;86,48;12,19;1,32;94,89;75,14;6,62;19,42;23,96;5,44;61,06;41,20;954,27;38,94;16,97;622,20;47,99;10,16;0,00;0,45;;;;;;;;;;;;52,17;175,22
270010;Água Branca;AL;2016;27001011;Prefeitura Municipal de Água Branca;PMAB;Local;Esgoto       ;Administração pública direta;0;1;5.376;5.376;20.422;20.422;;;;1;;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.376;;900;;1.500;;10,00;;100,00;0,00;0,00;1.200;;1.000;;0,00;0,00;0,00;0,00;;5.376;;;0,00;;0,00;0,00;0,00;0,00;;0,00;;50.600,00;30.000,00;2.400,00;20.000,00;120.000,00;0,00;200.000,00;;0,00;;0,00;0,00;;;;3;;17.000,00;80.000,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;;;;;;;;;;;;;35,30;;;;;0,00;;;;0,00;;;;;;;;100,00;;;;;;;;;;;42,17;58,83;2,00;25,00;14,17;;;;;;;;100,00;;;;;;;;;26,32;;;;;;;;;;;;;;0,00;
270100;Boca da Mata;AL;2016;27010011;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água         ;Autarquia;1;0;18.616;;27.498;;;;;1;1;;0;;;;;;;;;;;18.616;18.549;5.072;5.050;5.073;5.050;4.609;4.691;80,00;76,00;1.217,58;1.217,58;475,61;490,51;490,51;0,00;4.889;4.874;4.609;4.691;0,00;;0,00;0,00;0,00;451,78;5.983;5.832;4.451;4.531;;;18.616;18.549;1.217,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.652.044,15;1.652.044,15;;0,00;1.652.044,15;1.652.044,15;0,00;0,00;0,00;772.628,54;112.395,00;241.945,64;45.321,93;1.612.111,54;0,00;1.612.655,36;0,00;0,00;0,00;543,82;543,82;0,00;0,00;0,00;42;39;439.276,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;124,98;3,29;3,37;3,37;;50,72;19.077,25;91,88;39,06;0,00;102,44;59,71;8,52;;;8,08;42,88;118,05;13,20;;72,32;100,00;;20,05;3,29;318,50;40,29;0,00;97,58;46,77;49,51;0,00;26,59;47,93;50,74;15,01;6,97;27,25;100,00;;0,00;96,44;96,96;8,00;;;8,00;59,71;25,54;393,59;40,29;8,08;0,00;67,70;;100,00;;;;;;;;;;;;;102,44;118,04
270130;Cajueiro;AL;2016;27013011;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água e Esgoto;Autarquia;1;1;17.319;17.319;21.443;21.443;;;;1;1;1;0;0;;;;;;;;;;17.299;17.230;4.939;4.876;4.939;4.876;4.776;4.775;53,00;50,00;594,54;583,22;583,22;583,22;583,22;0,00;4.768;4.699;4.776;4.775;0,00;;0,00;0,00;0,00;443,00;6.050;5.920;4.646;4.636;0,00;;17.299;17.230;583,22;388,00;;;;;;;;;;;;;2.045;2.032;507;454;507;454;4,05;3,80;54,15;54,15;49,13;507;454;573;508;0,00;0,00;0,00;0,00;;2.045;2.032;3,93;1.667.754,94;1.510.817,86;156.937,08;363.807,37;2.031.562,31;2.031.562,31;0,00;80.449,87;70.919,30;1.088.806,31;152.905,00;143.733,62;474.687,07;1.999.181,31;0,00;2.031.562,31;0,00;0,00;0,00;67.124,00;9.296,00;0,00;0,00;0,00;28;30;71.925,31;23.085,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;185,79;3,21;2,64;2,59;3,19;76,96;37.545,05;97,31;98,10;0,00;82,09;1,90;10,18;9,28;100,00;9,90;41,64;129,39;8,60;7,26;92,55;99,88;11,81;10,10;3,16;371,04;98,10;0,00;119,87;65,29;93,75;0,00;4,31;54,46;78,21;7,19;7,65;3,60;74,37;7,72;17,91;96,45;100,00;5,91;9,28;11,81;5,38;1,90;0,60;6,32;98,10;9,90;14,26;80,67;9,54;98,10;0,65;0,07;0,37;;;;;;;;;;101,15;129,39
270135;Campestre;AL;2016;27013511;Prefeitura Municipal de Campestre;PMC;Local;Água e Esgoto;Administração pública direta;1;1;5.879;5.879;7.002;7.002;;;;1;1;1;0;0;;;;;;;;;;5.879;;1.500;;1.500;;1.500;;35,00;;396,00;200,00;0,00;350,00;0,00;50,00;1.500;;1.500;;150,00;;0,00;0,00;0,00;0,00;1.500;;1.500;;50,00;;5.879;;20,00;50,00;;;;;;;;;;;;;5.000;;1.459;;1.460;;35,00;;350,00;0,00;0,00;1.411;;1.500;;350,00;0,00;0,00;0,00;;5.000;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;42.000,00;2.000,00;5.000,00;8.000,00;59.500,00;750,00;62.000,00;;500,00;500,00;1.000,00;1.000,00;;;;2;;0,00;250,00;;;;;0,00;500,00;250,00;750,00;0,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1.480,00;;;;;80,65;21.000,00;100,00;0,00;12,63;0,00;100,00;0,00;100,00;0,00;0,00;2,38;1.243,20;23,33;23,33;163,11;100,00;85,05;22,00;;20,10;0,00;;;;;;;70,59;84,03;8,40;3,36;0,00;;;;100,00;0,00;1,33;0,00;85,05;0,68;;;;101,16;19,44;;83,96;71,41;5,05;0,13;0,00;0,10;;;;;;;;;;0,00;1.242,78
270140;Campo Alegre;AL;2016;27014011;Prefeitura Municipal de Campo Alegre;PMCA;Local;Água e Esgoto;Administração pública direta;1;1;24.861;24.861;57.008;57.008;;;;1;1;1;2;2;;;;;;;;;;45.530;;6.044;;15.800;;1.167;;58,00;;2.850,00;203,70;200,00;500,00;600,00;0,00;15.755;;1.167;;500,00;;0,00;500,00;0,00;200,00;8.157;;1.167;;50,00;;24.861;;500,00;3.000,00;;;;;;;;;;;;;13.820;;5.805;;6.044;;43,00;;320,00;50,00;0,00;4.500;;6.044;;0,00;0,00;0,00;0,00;;13.820;;250,00;745.200,00;730.200,00;15.000,00;4.800,00;750.000,00;1.095.227,19;0,00;0,00;;585.000,00;21.600,00;840.000,00;25.152,00;1.471.752,00;0,00;1.471.752,00;;0,00;0,00;0,00;0,00;;;;36;;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100.000,00;80.000,00;65.000,00;245.000,00;0,00;0,00;245.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,61;606,78;2,45;1,24;1,22;;41,46;16.250,00;19,31;6,06;0,00;50,63;81,82;14,28;64,00;15,62;3,16;37,55;581,76;7,11;7,11;30,09;100,00;55,59;17,67;2,45;67,38;18,18;-46,03;197,50;78,50;81,88;0,00;0,00;39,75;41,46;57,07;1,47;0,00;97,36;2,00;0,64;99,72;40,00;5,96;10,00;55,59;3,04;84,85;132,26;1.269,23;15,15;2,64;0,00;79,87;24,24;14,93;0,90;0,78;0,26;;;;;;;;;;74,42;315,57
270230;Coruripe;AL;2016;27023011;Prefeitura Municipal de Coruripe;PMC;Local;Água e Esgoto;Administração pública direta;1;1;50.414;50.414;57.079;57.079;;;;1;1;1;10;0;;;;;;;;;;56.701;56.631;10.615;10.586;13.987;13.586;5.211;5.196;218,00;213,00;5.071,00;0,00;1.802,00;5.010,00;5.071,00;1.234,00;13.457;13.080;5.211;5.196;5.071,00;;0,00;0,00;0,00;1.802,00;13.987;13.589;5.211;5.196;;;49.712;49.611;0,00;20.480,61;;;;;;;;;;;;;8.313;8.231;1.842;1.827;;;13,30;13,30;322,10;322,10;0,00;;;1.899;1.887;0,00;0,00;0,00;0,00;;8.313;8.231;1,58;2.946.000,00;2.946.000,00;0,00;12.000,00;2.958.000,00;2.977.390,53;0,00;586.258,81;671.000,00;901.872,17;11.508,75;1.152.552,00;639.559,96;2.839.729,24;0,00;2.840.685,47;;956,23;27.252,30;106.984,06;0,00;;;;31;14;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;1,30;;0,56;0,58;0,58;;54,26;40.083,21;49,09;35,54;24,33;103,71;0,00;28,86;6,43;100,00;30,65;38,46;;15,63;7,03;242,23;98,61;16,49;30,65;0,56;;100,00;-0,66;96,39;30,61;52,32;0,00;0,00;31,76;54,28;40,59;0,41;0,00;99,59;0,00;0,41;96,24;35,97;2,12;6,43;16,49;1,81;1,20;0,78;15,77;98,80;30,28;71,35;99,34;14,56;0,00;4,04;0,00;0,06;;;;;;;;;;104,85;323,36
